dataset,n,d,task,config,geo_score,xgb_score,delta
diabetes,442,10,reg,current_defaults,0.37616,0.37783,-0.00167
diabetes,442,10,reg,conv_tol_01,0.37616,0.37783,-0.00167
diabetes,442,10,reg,conv_tol_005,0.37616,0.37783,-0.00167
diabetes,442,10,reg,lr003_depth3,0.35905,0.37783,-0.01878
diabetes,442,10,reg,lr003_conv01,0.35905,0.37783,-0.01878
diabetes,442,10,reg,ri25_conv01,0.39475,0.37783,0.01692
breast_cancer,569,30,clf,current_defaults,0.99058,0.99241,-0.00183
breast_cancer,569,30,clf,conv_tol_01,0.99058,0.99241,-0.00183
breast_cancer,569,30,clf,conv_tol_005,0.99058,0.99241,-0.00183
breast_cancer,569,30,clf,lr003_depth3,0.99015,0.99241,-0.00226
breast_cancer,569,30,clf,lr003_conv01,0.99015,0.99241,-0.00226
breast_cancer,569,30,clf,ri25_conv01,0.99071,0.99241,-0.0017
wine,178,13,clf,current_defaults,0.99238,0.99874,-0.00636
wine,178,13,clf,conv_tol_01,0.99238,0.99874,-0.00636
wine,178,13,clf,conv_tol_005,0.99238,0.99874,-0.00636
wine,178,13,clf,lr003_depth3,0.99211,0.99874,-0.00663
wine,178,13,clf,lr003_conv01,0.99211,0.99874,-0.00663
wine,178,13,clf,ri25_conv01,0.99252,0.99874,-0.00622
friedman1_2k,2000,10,reg,current_defaults,0.93704,0.92733,0.0097
friedman1_2k,2000,10,reg,conv_tol_01,0.93704,0.92733,0.0097
friedman1_2k,2000,10,reg,conv_tol_005,0.93704,0.92733,0.0097
friedman1_2k,2000,10,reg,lr003_depth3,0.94125,0.92733,0.01392
friedman1_2k,2000,10,reg,lr003_conv01,0.94125,0.92733,0.01392
friedman1_2k,2000,10,reg,ri25_conv01,0.93688,0.92733,0.00955
friedman3_2k,2000,4,reg,current_defaults,0.2268,0.20349,0.02331
friedman3_2k,2000,4,reg,conv_tol_01,0.23143,0.20349,0.02794
friedman3_2k,2000,4,reg,conv_tol_005,0.2268,0.20349,0.02331
friedman3_2k,2000,4,reg,lr003_depth3,0.2174,0.20349,0.01391
friedman3_2k,2000,4,reg,lr003_conv01,0.21846,0.20349,0.01497
friedman3_2k,2000,4,reg,ri25_conv01,0.23593,0.20349,0.03244
california_5k,5000,8,reg,current_defaults,0.77417,0.78785,-0.01368
california_5k,5000,8,reg,conv_tol_01,0.77417,0.78785,-0.01368
california_5k,5000,8,reg,conv_tol_005,0.77417,0.78785,-0.01368
california_5k,5000,8,reg,lr003_depth3,0.78445,0.78785,-0.0034
california_5k,5000,8,reg,lr003_conv01,0.78445,0.78785,-0.0034
california_5k,5000,8,reg,ri25_conv01,0.76207,0.78785,-0.02578
linreg_20d_2k,2000,20,reg,current_defaults,0.938,0.90682,0.03118
linreg_20d_2k,2000,20,reg,conv_tol_01,0.938,0.90682,0.03118
linreg_20d_2k,2000,20,reg,conv_tol_005,0.938,0.90682,0.03118
linreg_20d_2k,2000,20,reg,lr003_depth3,0.95393,0.90682,0.04711
linreg_20d_2k,2000,20,reg,lr003_conv01,0.95393,0.90682,0.04711
linreg_20d_2k,2000,20,reg,ri25_conv01,0.93794,0.90682,0.03112
binary_clf_5k,5000,10,clf,current_defaults,0.97627,0.96726,0.00901
binary_clf_5k,5000,10,clf,conv_tol_01,0.97627,0.96726,0.00901
binary_clf_5k,5000,10,clf,conv_tol_005,0.97627,0.96726,0.00901
binary_clf_5k,5000,10,clf,lr003_depth3,0.95384,0.96726,-0.01342
binary_clf_5k,5000,10,clf,lr003_conv01,0.95373,0.96726,-0.01353
binary_clf_5k,5000,10,clf,ri25_conv01,0.97598,0.96726,0.00872
multiclass_5k,5000,15,clf,current_defaults,0.97175,0.98686,-0.01511
multiclass_5k,5000,15,clf,conv_tol_01,0.97175,0.98686,-0.01511
multiclass_5k,5000,15,clf,conv_tol_005,0.97175,0.98686,-0.01511
multiclass_5k,5000,15,clf,lr003_depth3,0.95173,0.98686,-0.03512
multiclass_5k,5000,15,clf,lr003_conv01,0.95173,0.98686,-0.03512
multiclass_5k,5000,15,clf,ri25_conv01,0.97225,0.98686,-0.01461
friedman1_10k,10000,10,reg,current_defaults,0.94373,0.94737,-0.00364
friedman1_10k,10000,10,reg,conv_tol_01,0.94181,0.94737,-0.00556
friedman1_10k,10000,10,reg,conv_tol_005,0.94281,0.94737,-0.00456
friedman1_10k,10000,10,reg,lr003_depth3,0.94616,0.94737,-0.00121
friedman1_10k,10000,10,reg,lr003_conv01,0.94478,0.94737,-0.00259
friedman1_10k,10000,10,reg,ri25_conv01,0.91864,0.94737,-0.02873
friedman1_50k,50000,10,reg,current_defaults,0.94539,0.95274,-0.00736
friedman1_50k,50000,10,reg,conv_tol_01,0.94311,0.95274,-0.00963
friedman1_50k,50000,10,reg,conv_tol_005,0.94442,0.95274,-0.00832
friedman1_50k,50000,10,reg,lr003_depth3,0.94968,0.95274,-0.00306
friedman1_50k,50000,10,reg,lr003_conv01,0.94583,0.95274,-0.00691
friedman1_50k,50000,10,reg,ri25_conv01,0.91387,0.95274,-0.03887
california_10k,10000,8,reg,current_defaults,0.7773,0.8051,-0.0278
california_10k,10000,8,reg,conv_tol_01,0.76029,0.8051,-0.04481
california_10k,10000,8,reg,conv_tol_005,0.76425,0.8051,-0.04085
california_10k,10000,8,reg,lr003_depth3,0.78428,0.8051,-0.02082
california_10k,10000,8,reg,lr003_conv01,0.76954,0.8051,-0.03555
california_10k,10000,8,reg,ri25_conv01,0.73024,0.8051,-0.07485
linreg_20d_10k,10000,20,reg,current_defaults,0.96767,0.9597,0.00797
linreg_20d_10k,10000,20,reg,conv_tol_01,0.96767,0.9597,0.00797
linreg_20d_10k,10000,20,reg,conv_tol_005,0.96767,0.9597,0.00797
linreg_20d_10k,10000,20,reg,lr003_depth3,0.97815,0.9597,0.01845
linreg_20d_10k,10000,20,reg,lr003_conv01,0.97815,0.9597,0.01845
linreg_20d_10k,10000,20,reg,ri25_conv01,0.96344,0.9597,0.00374
reg_4d_10k,10000,4,reg,current_defaults,0.99429,0.99725,-0.00296
reg_4d_10k,10000,4,reg,conv_tol_01,0.99376,0.99725,-0.00349
reg_4d_10k,10000,4,reg,conv_tol_005,0.99376,0.99725,-0.00349
reg_4d_10k,10000,4,reg,lr003_depth3,0.9938,0.99725,-0.00345
reg_4d_10k,10000,4,reg,lr003_conv01,0.993,0.99725,-0.00425
reg_4d_10k,10000,4,reg,ri25_conv01,0.99293,0.99725,-0.00432
