dataset,n,d,task,metric,geo_score,xgb_score,delta,geo_time,xgb_time,speed_ratio,winner
diabetes,442,10,regression,R2,0.37616,0.37783,-0.00167,0.153,1.127,0.14,XGBoost
breast_cancer,569,30,classification,AUC,0.99058,0.99241,-0.00183,1.213,0.935,1.3,XGBoost
wine,178,13,classification,AUC,0.99238,0.99874,-0.00636,3.859,1.942,1.99,XGBoost
friedman1_2k,2000,10,regression,R2,0.93704,0.92733,0.0097,0.458,1.2,0.38,GeoXGB
friedman3_2k,2000,4,regression,R2,0.2268,0.20349,0.02331,0.275,1.096,0.25,GeoXGB
california_5k,5000,8,regression,R2,0.77417,0.78785,-0.01368,0.994,1.624,0.61,XGBoost
linreg_20d_2k,2000,20,regression,R2,0.938,0.90682,0.03118,0.668,1.159,0.58,GeoXGB
binary_clf_5k,5000,10,classification,AUC,0.97627,0.96726,0.00901,2.868,1.272,2.25,GeoXGB
multiclass_5k,5000,15,classification,AUC,0.97175,0.98686,-0.01511,16.929,5.726,2.96,XGBoost
friedman1_10k,10000,10,regression,R2,0.94373,0.94737,-0.00364,2.563,1.249,2.05,XGBoost
friedman1_50k,50000,10,regression,R2,0.94539,0.95274,-0.00736,4.273,1.622,2.63,XGBoost
california_10k,10000,8,regression,R2,0.7773,0.8051,-0.0278,2.141,1.005,2.13,XGBoost
california_full,20640,8,regression,R2,0.77604,0.80792,-0.03188,2.342,1.746,1.34,XGBoost
linreg_20d_10k,10000,20,regression,R2,0.96767,0.9597,0.00797,3.078,1.496,2.06,GeoXGB
linreg_20d_50k,50000,20,regression,R2,0.97274,0.97205,0.0007,3.894,2.7,1.44,tie
reg_4d_10k,10000,4,regression,R2,0.99429,0.99725,-0.00296,1.592,0.903,1.76,XGBoost
reg_4d_50k,50000,4,regression,R2,0.99397,0.99798,-0.00401,3.357,1.393,2.41,XGBoost
binary_clf_20k,20000,10,classification,AUC,0.97807,0.97774,0.00033,7.437,1.304,5.7,tie
